LocationName,cityName,townName,address,lat,lon,單位
江翠派出所,新北市,板橋區,大同街14號,25.0268401,121.4773353,派出所
新北市政府警察局土城分局,新北市,土城區,和平路22號,24.973286,121.4429322,分局
清水派出所,新北市,土城區,青雲路220號,24.9812931,121.4588751,派出所
新北市政府消防局安和分隊,新北市,新店區,新北市新店區安和路3段3號,24.9802841,121.5171262,消防局
新北市政府消防局九份分隊,新北市,瑞芳區,新北市瑞芳區崙頂路1-5號,25.10610183,121.8467977,消防局
新北市政府警察局中和分局,新北市,中和區,新北市中和區圓通路30號,24.99792857,121.5010176,分局
新北市政府消防局永平分隊,新北市,永和區,新北市永和區環河西路二段177-1號1樓,25.01331706,121.5050409,消防局
永和派出所,新北市,永和區,新北市永和區安樂路344號,25.0062518,121.5144973,派出所
秀朗派出所,新北市,永和區,永利路73號,25.0037669,121.5210451,派出所
中正橋派出所,新北市,永和區,永和路二段303號,25.0163694,121.5158288,派出所
新生派出所,新北市,永和區,仁愛路187號,25.0125961,121.5102178,派出所
得和派出所,新北市,永和區,民權路51號,24.9970676,121.5200534,派出所
新北市政府消防局三重分隊,新北市,三重區,新北市三重區正義南路107號2樓,25.058813,121.498536,消防局
新北市政府消防局裕民分隊,新北市,新莊區,新北市新莊區裕民街136號,25.0226157,121.4180864,消防局
水源派出所,新北市,淡水區,新北市淡水區北新路二段19號,25.1858101,121.4780766,派出所
興仁派出所,新北市,淡水區,新北市淡水區興仁路93號,25.2177987,121.4518809,派出所
中正路派出所,新北市,淡水區,新北市淡水區中正路318-1號,25.1727286,121.43679,派出所
竹圍派出所,新北市,淡水區,新北市淡水區民權路32號,25.1374492,121.4597957,派出所
水碓派出所,新北市,淡水區,新北市淡水區中山北路一段160號,25.1782853,121.4443604,派出所
賢孝派出所,新北市,淡水區,新北市淡水區淡金路五段72號,25.2334968,121.4548319,派出所
後厝派出所,新北市,三芝區,新北市三芝區北勢子45之32號,25.2466,121.47732,派出所
興華派出所,新北市,三芝區,新北市三芝區田心子1號,25.2366667,121.5252778,派出所
廣福派出所,新北市,土城區,學府路一段103號,24.9877522,121.456118,派出所
土城派出所,新北市,土城區,和平路22號,24.973286,121.4429322,派出所
頂埔派出所,新北市,土城區,新北市土城區中央路三段164號,24.96557766,121.431499,派出所
金城派出所,新北市,土城區,新北市土城區延吉街318號,24.98409407,121.4635214,派出所
新北市政府消防局永和分隊,新北市,永和區,新北市永和區警光街1-1號,25.00950347,121.519877,消防局
新北市政府消防局新板分隊,新北市,板橋區,民族路57號,25.00913781,121.4644159,消防局
新北市政府消防局五泰林中隊,新北市,泰山區,新北市泰山區明志路二段188號,25.0468232,121.4267876,消防局
新北市政府消防局新莊中隊,新北市,新莊區,新北市新莊區中原路512號,25.0541749,121.45254,消防局
新北市政府消防局永和中隊,新北市,永和區,新北市永和區永利路72-1號4樓,25.0132421,121.5049258,消防局
新北市政府消防局三重中隊,新北市,三重區,新北市三重區中興北街225號,25.0585525,121.4691841,消防局
新北市政府消防局淡水中隊,新北市,淡水區,新北市淡水區中正東路一段125號,25.1594851,121.4556043,消防局
新北市政府消防局樹林中隊,新北市,樹林區,新北市樹林區柑園街一段60號,24.960426,121.403021,消防局
新北市政府消防局土城中隊,新北市,土城區,新北市土城區金城路一段90號,24.9733766,121.445061,消防局
新北市政府消防局第七救災救護大隊,新北市,中和區,新北市中和區中山路二段64巷11號4樓,25.00562948,121.5032267,消防局
新北市政府消防局員山分隊,新北市,中和區,新北市中和區中正路1163號,25.0090329,121.4817796,消防局
新北市政府消防局慈福分隊,新北市,三重區,新北市三重區溪尾街301號,25.083421,121.487567,消防局
新北市政府消防局特搜大隊,新北市,板橋區,新北市板橋區南雅南路二段15號,25.00128015,121.4539346,消防局
新北市政府消防局板橋中隊,新北市,板橋區,新北市板橋區重慶路293號,24.99911611,121.4633775,消防局
新北市政府消防局瑞芳中隊,新北市,瑞芳區,新北市瑞芳區中正路30號,24.69561055,121.7695343,消防局
新北市政府消防局新店中隊,新北市,深坑區,新北市深坑區文山路一段35號,25.00264785,121.6281134,消防局
新北市政府消防局南雅分隊,新北市,板橋區,新北市板橋區南雅南路二段15號,25.00128015,121.4539346,消防局
新北市政府消防局中和分隊,新北市,中和區,新北市中和區中山路二段64巷11號,25.00562948,121.5032267,消防局
新北市政府消防局滬尾分隊,新北市,淡水區,新北市淡水區中正路15巷5號,25.17151123,121.4371263,消防局
新北市政府消防局民力運用科,新北市,板橋區,新北市板橋區南雅南路二段15號,25.00128015,121.4539346,消防局
新北市政府消防局減災規劃科,新北市,板橋區,新北市板橋區南雅南路二段15號,25.00128015,121.4539346,消防局
新北市政府消防局鷺江分隊,新北市,蘆洲區,新北市蘆洲區長榮路792號,25.09297494,121.4614288,消防局
新北市政府消防局文化分隊,新北市,林口區,新北市林口區 文化三路一段302號,25.06996371,121.3628777,消防局
秀山派出所,新北市,中和區,新北市中和區成功路139號,24.99047218,121.5259836,派出所
南勢派出所,新北市,中和區,新北市中和區南山路322號,24.98652295,121.5079361,派出所
安平派出所,新北市,中和區,新北市中和區中安街175號,25.0001972,121.5110933,派出所
景安派出所,新北市,中和區,新北市中和區復興路276號,24.99048206,121.5026784,派出所
新北市政府警察局中和分局民安駐地,新北市,中和區,新北市中和區民安街150號,25.00152861,121.4776686,分局
新北市政府警察局三重分局,新北市,三重區,新北市三重區重新路3段147號,25.05905427,121.4901334,分局
五工派出所,新北市,新莊區,新北市新莊區五工路95-1號,25.063317,121.457776,派出所
新樹派出所,新北市,新莊區,新北市新莊區,25.0358303,121.4367535,派出所
新店分局,新北市,新店區,新北市新店區,24.93039008,121.5316565,分局
新北市政府消防局重陽消防隊,新北市,三重區,新北市三重區過田里8鄰重陽路一段123號,25.06106103,121.4869452,消防局
新北市政府消防局特搜大隊大埔分隊,新北市,三峽區,新北市三峽區中正路2段492號,24.906941,121.362765,消防局
新北市政府消防局 蘆洲分隊,新北市,蘆洲區,新北市蘆洲區,25.08927173,121.4712461,消防局
文聖派出所,新北市,板橋區,新北市板橋區大同街14號,25.01186453,121.4579675,派出所
新北市政府警察局瑞芳分局,新北市,瑞芳區,新北市瑞芳區明燈路三段25號,25.10760545,121.8077273,分局
新北市政府警察局三峽分局,新北市,三峽區,新北市三峽區,24.88209766,121.4163094,分局
新北市政府消防局海山中隊,新北市,板橋區,新北市板橋區莒光路161號4樓,25.024301,121.473927,消防局
新北市政府消防局鳳鳴分隊,新北市,鶯歌區,新北市鶯歌區鳳鳴路162號,24.969141,121.333946,消防局
新北市政府消防局汐止中隊,新北市,汐止區,新北市汐止區忠孝東路1-1號,25.064131,121.657032,消防局
新北市政府消防局中和中隊,新北市,中和區,新北市中和區中山路二段64巷11號,25.005547,121.503305,消防局
新北市政府警察局林口分局,新北市,林口區,新北市林口區南勢里22鄰忠孝二路57號,25.07032549,121.3632945,分局
新北市政府警察局林口分局泰山分駐所,新北市,泰山區,新北市泰山區泰林路二段214號,25.061685,121.433049,分局
新北市政府警察局林口分局明志派出所,新北市,泰山區,新北市泰山區明志路2段426號,25.043811,121.424712,派出所
新北市政府警察局林口分局林口派出所,新北市,林口區,新北市林口區中正路102號,25.077324,121.393784,派出所
新北市政府警察局林口分局文化派出所,新北市,林口區,新北市林口區麗園一街5號,25.1000868,121.3527235,派出所
新北市政府警察局林口分局忠孝派出所,新北市,林口區,新北市林口區忠孝二路57號,25.070114,121.36357,派出所
新北市政府警察局林口分局文林派出所,新北市,林口區,新北市林口區文化三路2段600號,25.087584,121.379935,派出所
新北市政府警察局林口分局下福派出所,新北市,林口區,新北市林口區下福里下福99之1號,25.11701,121.289709,派出所
新北市政府警察局林口分局瑞平派出所,新北市,林口區,新北市林口區瑞平里10鄰44號,25.122653,121.335843,派出所
新北市政府警察局林口分局警備隊,新北市,林口區,新北市林口區忠孝二路57號,25.070114,121.36357,分局
