類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,私人住宅大樓,WYA01214,民權里,臺北市大同區重慶北路二段183號,"25.05992,121.513741",B01,443,大同分局,
一般住宅,私人住宅大樓,WYA01215,民權里,臺北市大同區重慶北路二段185號,"25.059992,121.513732",B01,296,大同分局,
一般住宅,私人住宅大樓,WYA01216,民權里,臺北市大同區保安街1-12號,"25.05964,121.514358",B01,1077,大同分局,
一般住宅,公寓,WYA01217,民權里,臺北市大同區錦西街85號,"25.059742,121.515276",B01,98,大同分局,
一般住宅,私人住宅大樓,WYA01218,民權里,臺北市大同區保安街1-21號,"25.059767,121.514112",B01,1448,大同分局,
一般住宅,公寓,WYA01221,民權里,臺北市大同區錦西街65巷34號,"25.060528,121.515064",B01,64,大同分局,
一般住宅,公寓,WYA01223,民權里,臺北市大同區寧夏路121號,"25.060345,121.514598",B01,44,大同分局,
一般住宅,私人住宅大樓,WYA01226,民權里,臺北市大同區蘭州街10號,"25.061928,121.514186",B01,606,大同分局,
一般住宅,公寓,WYA01228,民權里,臺北市大同區蘭州街18號,"25.062156,121.514289",B01,22,大同分局,
一般住宅,公寓,WYA01229,民權里,臺北市大同區蘭州街15號,"25.062069,121.514404",B01,20,大同分局,
一般住宅,公寓,WYA01231,民權里,臺北市大同區重慶北路二段229號,"25.061976,121.513732",B01,40,大同分局,
一般住宅,公寓,WYA01233,民權里,臺北市大同區重慶北路二段233號,"25.062042,121.513732",B01,46,大同分局,
一般住宅,公寓,WYA01234,民權里,臺北市大同區寧夏路155號,"25.06133,121.51428",B02,42,大同分局,
一般住宅,公寓,WYA01235,民權里,臺北市大同區寧夏路157號,"25.06133,121.51428",B01,28,大同分局,
一般住宅,公寓,WYA01237,民權里,臺北市大同區民權西路184巷42號,"25.061416,121.514601",B01,81,大同分局,
一般住宅,私人住宅大樓,WYA01243,民權里,臺北市大同區民權西路160巷28號,"25.061389,121.515861",B01,153,大同分局,
一般住宅,私人住宅大樓,WYA01244,民權里,臺北市大同區民權西路144巷5弄5號,"25.062386,121.51618",B01,1313,大同分局,
