COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"65000","新北市","65000010","板橋區",221271,549572,266499,283073,"111Y12M"
"65000","新北市","65000020","三重區",157692,379825,185921,193904,"111Y12M"
"65000","新北市","65000030","中和區",171182,403109,194151,208958,"111Y12M"
"65000","新北市","65000040","永和區",91249,212170,100409,111761,"111Y12M"
"65000","新北市","65000050","新莊區",164488,419966,204102,215864,"111Y12M"
"65000","新北市","65000060","新店區",131824,298594,142879,155715,"111Y12M"
"65000","新北市","65000070","樹林區",67888,180067,89516,90551,"111Y12M"
"65000","新北市","65000080","鶯歌區",33301,88406,44211,44195,"111Y12M"
"65000","新北市","65000090","三峽區",45068,115274,57525,57749,"111Y12M"
"65000","新北市","65000100","淡水區",87308,187823,89612,98211,"111Y12M"
"65000","新北市","65000110","汐止區",93309,206265,100256,106009,"111Y12M"
"65000","新北市","65000120","瑞芳區",16015,37695,18981,18714,"111Y12M"
"65000","新北市","65000130","土城區",92223,237538,116491,121047,"111Y12M"
"65000","新北市","65000140","蘆洲區",74455,199811,97646,102165,"111Y12M"
"65000","新北市","65000150","五股區",36517,91436,45692,45744,"111Y12M"
"65000","新北市","65000160","泰山區",29278,76982,37930,39052,"111Y12M"
"65000","新北市","65000170","林口區",52573,127887,62040,65847,"111Y12M"
"65000","新北市","65000180","深坑區",9889,23528,11730,11798,"111Y12M"
"65000","新北市","65000190","石碇區",3344,7292,3974,3318,"111Y12M"
"65000","新北市","65000200","坪林區",2574,6553,3541,3012,"111Y12M"
"65000","新北市","65000210","三芝區",9688,22228,11427,10801,"111Y12M"
"65000","新北市","65000220","石門區",4225,10961,5713,5248,"111Y12M"
"65000","新北市","65000230","八里區",16779,40902,20335,20567,"111Y12M"
"65000","新北市","65000240","平溪區",2196,4268,2380,1888,"111Y12M"
"65000","新北市","65000250","雙溪區",3615,8102,4419,3683,"111Y12M"
"65000","新北市","65000260","貢寮區",4282,11260,5741,5519,"111Y12M"
"65000","新北市","65000270","金山區",7257,20577,10155,10422,"111Y12M"
"65000","新北市","65000280","萬里區",7517,21101,10508,10593,"111Y12M"
"65000","新北市","65000290","烏來區",1901,6359,3106,3253,"111Y12M"
"63000","臺北市","63000010","松山區",79505,189939,88635,101304,"111Y12M"
"63000","臺北市","63000020","信義區",87993,203780,96550,107230,"111Y12M"
"63000","臺北市","63000030","大安區",118081,284557,132247,152310,"111Y12M"
"63000","臺北市","63000040","中山區",99538,212669,98040,114629,"111Y12M"
"63000","臺北市","63000050","中正區",64831,148103,70200,77903,"111Y12M"
"63000","臺北市","63000060","大同區",52316,118833,57284,61549,"111Y12M"
"63000","臺北市","63000070","萬華區",78523,173040,84254,88786,"111Y12M"
"63000","臺北市","63000080","文山區",107175,257558,122631,134927,"111Y12M"
"63000","臺北市","63000090","南港區",47849,113798,55192,58606,"111Y12M"
"63000","臺北市","63000100","內湖區",110126,272963,129498,143465,"111Y12M"
"63000","臺北市","63000110","士林區",107020,264716,127319,137397,"111Y12M"
"63000","臺北市","63000120","北投區",98024,240725,115172,125553,"111Y12M"
"68000","桃園市","68000010","桃園區",185777,462338,222499,239839,"111Y12M"
"68000","桃園市","68000020","中壢區",167150,423722,206978,216744,"111Y12M"
"68000","桃園市","68000030","大溪區",34814,94313,47821,46492,"111Y12M"
"68000","桃園市","68000040","楊梅區",65670,177602,88725,88877,"111Y12M"
"68000","桃園市","68000050","蘆竹區",62554,167205,82684,84521,"111Y12M"
"68000","桃園市","68000060","大園區",32696,85991,43522,42469,"111Y12M"
"68000","桃園市","68000070","龜山區",72545,172274,85301,86973,"111Y12M"
"68000","桃園市","68000080","八德區",79206,209952,104077,105875,"111Y12M"
"68000","桃園市","68000090","龍潭區",45770,124973,62082,62891,"111Y12M"
"68000","桃園市","68000100","平鎮區",83226,227810,112517,115293,"111Y12M"
"68000","桃園市","68000110","新屋區",17858,49205,26053,23152,"111Y12M"
"68000","桃園市","68000120","觀音區",27240,73026,37703,35323,"111Y12M"
"68000","桃園市","68000130","復興區",3960,13053,6908,6145,"111Y12M"
"66000","臺中市","66000010","中區",8104,17635,8667,8968,"111Y12M"
"66000","臺中市","66000020","東區",29700,75554,37222,38332,"111Y12M"
"66000","臺中市","66000030","南區",50934,125466,59870,65596,"111Y12M"
"66000","臺中市","66000040","西區",46476,112278,52997,59281,"111Y12M"
"66000","臺中市","66000050","北區",61053,142778,67830,74948,"111Y12M"
"66000","臺中市","66000060","西屯區",92710,231866,110539,121327,"111Y12M"
"66000","臺中市","66000070","南屯區",69481,177930,84673,93257,"111Y12M"
"66000","臺中市","66000080","北屯區",115527,295677,140635,155042,"111Y12M"
"66000","臺中市","66000090","豐原區",55843,163476,80326,83150,"111Y12M"
"66000","臺中市","66000100","東勢區",17540,47817,24381,23436,"111Y12M"
"66000","臺中市","66000110","大甲區",24294,74737,37392,37345,"111Y12M"
"66000","臺中市","66000120","清水區",31021,88947,45320,43627,"111Y12M"
"66000","臺中市","66000130","沙鹿區",32839,97002,48692,48310,"111Y12M"
"66000","臺中市","66000140","梧棲區",19933,59848,29968,29880,"111Y12M"
"66000","臺中市","66000150","后里區",17144,53667,27010,26657,"111Y12M"
"66000","臺中市","66000160","神岡區",20465,64308,32737,31571,"111Y12M"
"66000","臺中市","66000170","潭子區",38329,108639,53431,55208,"111Y12M"
"66000","臺中市","66000180","大雅區",31199,95275,47321,47954,"111Y12M"
"66000","臺中市","66000190","新社區",7824,23283,12017,11266,"111Y12M"
"66000","臺中市","66000200","石岡區",4922,14154,7305,6849,"111Y12M"
"66000","臺中市","66000210","外埔區",10048,31264,15940,15324,"111Y12M"
"66000","臺中市","66000220","大安區",5662,18230,9614,8616,"111Y12M"
"66000","臺中市","66000230","烏日區",28336,78122,38919,39203,"111Y12M"
"66000","臺中市","66000240","大肚區",18855,56129,28512,27617,"111Y12M"
"66000","臺中市","66000250","龍井區",25075,77887,39051,38836,"111Y12M"
"66000","臺中市","66000260","霧峰區",21256,64091,32370,31721,"111Y12M"
"66000","臺中市","66000270","太平區",70277,196011,96581,99430,"111Y12M"
"66000","臺中市","66000280","大里區",74284,211469,103193,108276,"111Y12M"
"66000","臺中市","66000290","和平區",4690,10919,5802,5117,"111Y12M"
"67000","臺南市","67000010","新營區",29844,74908,36859,38049,"111Y12M"
"67000","臺南市","67000020","鹽水區",10187,24452,12714,11738,"111Y12M"
"67000","臺南市","67000030","白河區",10603,26203,13665,12538,"111Y12M"
"67000","臺南市","67000040","柳營區",8027,20407,10621,9786,"111Y12M"
"67000","臺南市","67000050","後壁區",8719,21891,11321,10570,"111Y12M"
"67000","臺南市","67000060","東山區",8094,19366,10333,9033,"111Y12M"
"67000","臺南市","67000070","麻豆區",16259,42933,21723,21210,"111Y12M"
"67000","臺南市","67000080","下營區",9351,22635,11695,10940,"111Y12M"
"67000","臺南市","67000090","六甲區",8079,21342,11031,10311,"111Y12M"
"67000","臺南市","67000100","官田區",8160,20849,10625,10224,"111Y12M"
"67000","臺南市","67000110","大內區",3663,8847,4768,4079,"111Y12M"
"67000","臺南市","67000120","佳里區",21640,58063,28656,29407,"111Y12M"
"67000","臺南市","67000130","學甲區",9842,24749,12692,12057,"111Y12M"
"67000","臺南市","67000140","西港區",8836,24713,12446,12267,"111Y12M"
"67000","臺南市","67000150","七股區",7913,21439,11088,10351,"111Y12M"
"67000","臺南市","67000160","將軍區",7126,18618,9486,9132,"111Y12M"
"67000","臺南市","67000170","北門區",4044,10183,5113,5070,"111Y12M"
"67000","臺南市","67000180","新化區",14952,42467,21533,20934,"111Y12M"
"67000","臺南市","67000190","善化區",20168,51842,26052,25790,"111Y12M"
"67000","臺南市","67000200","新市區",13674,37482,18830,18652,"111Y12M"
"67000","臺南市","67000210","安定區",10690,29904,15350,14554,"111Y12M"
"67000","臺南市","67000220","山上區",2738,6976,3682,3294,"111Y12M"
"67000","臺南市","67000230","玉井區",5183,13118,6769,6349,"111Y12M"
"67000","臺南市","67000240","楠西區",3466,8870,4665,4205,"111Y12M"
"67000","臺南市","67000250","南化區",2793,8114,4372,3742,"111Y12M"
"67000","臺南市","67000260","左鎮區",1867,4366,2484,1882,"111Y12M"
"67000","臺南市","67000270","仁德區",29835,76896,38623,38273,"111Y12M"
"67000","臺南市","67000280","歸仁區",23902,68044,34298,33746,"111Y12M"
"67000","臺南市","67000290","關廟區",11682,33424,17139,16285,"111Y12M"
"67000","臺南市","67000300","龍崎區",1483,3601,1955,1646,"111Y12M"
"67000","臺南市","67000310","永康區",89638,234130,114715,119415,"111Y12M"
"67000","臺南市","67000320","東區",73338,180511,86052,94459,"111Y12M"
"67000","臺南市","67000330","南區",47833,121035,59471,61564,"111Y12M"
"67000","臺南市","67000340","北區",51798,126068,60991,65077,"111Y12M"
"67000","臺南市","67000350","安南區",69973,199118,99930,99188,"111Y12M"
"67000","臺南市","67000360","安平區",28270,68025,32127,35898,"111Y12M"
"67000","臺南市","67000370","中西區",32873,77408,37294,40114,"111Y12M"
"64000","高雄市","64000010","鹽埕區",10729,22481,11056,11425,"111Y12M"
"64000","高雄市","64000020","鼓山區",60493,139590,66788,72802,"111Y12M"
"64000","高雄市","64000030","左營區",82492,195296,92997,102299,"111Y12M"
"64000","高雄市","64000040","楠梓區",77656,191313,93271,98042,"111Y12M"
"64000","高雄市","64000050","三民區",140589,330419,158603,171816,"111Y12M"
"64000","高雄市","64000060","新興區",23302,49068,23415,25653,"111Y12M"
"64000","高雄市","64000070","前金區",13601,26633,12517,14116,"111Y12M"
"64000","高雄市","64000080","苓雅區",73306,162642,77439,85203,"111Y12M"
"64000","高雄市","64000090","前鎮區",79565,180282,88167,92115,"111Y12M"
"64000","高雄市","64000100","旗津區",10830,26671,13631,13040,"111Y12M"
"64000","高雄市","64000110","小港區",69654,154808,76375,78433,"111Y12M"
"64000","高雄市","64000120","鳳山區",147086,356016,173275,182741,"111Y12M"
"64000","高雄市","64000130","林園區",27130,68429,34330,34099,"111Y12M"
"64000","高雄市","64000140","大寮區",44224,111514,56726,54788,"111Y12M"
"64000","高雄市","64000150","大樹區",14100,40732,20795,19937,"111Y12M"
"64000","高雄市","64000160","大社區",13463,33670,17049,16621,"111Y12M"
"64000","高雄市","64000170","仁武區",39246,95089,47909,47180,"111Y12M"
"64000","高雄市","64000180","鳥松區",19437,44168,22212,21956,"111Y12M"
"64000","高雄市","64000190","岡山區",35848,95349,47033,48316,"111Y12M"
"64000","高雄市","64000200","橋頭區",16380,40470,20218,20252,"111Y12M"
"64000","高雄市","64000210","燕巢區",10880,28963,15206,13757,"111Y12M"
"64000","高雄市","64000220","田寮區",3058,6655,3682,2973,"111Y12M"
"64000","高雄市","64000230","阿蓮區",9499,27656,13922,13734,"111Y12M"
"64000","高雄市","64000240","路竹區",17479,50602,25592,25010,"111Y12M"
"64000","高雄市","64000250","湖內區",11304,29540,15017,14523,"111Y12M"
"64000","高雄市","64000260","茄萣區",10688,29480,15045,14435,"111Y12M"
"64000","高雄市","64000270","永安區",5819,13776,6885,6891,"111Y12M"
"64000","高雄市","64000280","彌陀區",6837,18468,9415,9053,"111Y12M"
"64000","高雄市","64000290","梓官區",13096,34845,17880,16965,"111Y12M"
"64000","高雄市","64000300","旗山區",13688,34622,17803,16819,"111Y12M"
"64000","高雄市","64000310","美濃區",14950,37317,19639,17678,"111Y12M"
"64000","高雄市","64000320","六龜區",5391,11920,6409,5511,"111Y12M"
"64000","高雄市","64000330","甲仙區",2283,5661,2979,2682,"111Y12M"
"64000","高雄市","64000340","杉林區",4718,11094,6088,5006,"111Y12M"
"64000","高雄市","64000350","內門區",5102,13499,7293,6206,"111Y12M"
"64000","高雄市","64000360","茂林區",623,1940,968,972,"111Y12M"
"64000","高雄市","64000370","桃源區",1371,4258,2229,2029,"111Y12M"
"64000","高雄市","64000380","那瑪夏區",868,3201,1634,1567,"111Y12M"
"10002","宜蘭縣","10002010","宜蘭市",37896,94679,46013,48666,"111Y12M"
"10002","宜蘭縣","10002020","羅東鎮",26806,70012,33067,36945,"111Y12M"
"10002","宜蘭縣","10002030","蘇澳鎮",14493,37867,19214,18653,"111Y12M"
"10002","宜蘭縣","10002040","頭城鎮",10630,28453,14622,13831,"111Y12M"
"10002","宜蘭縣","10002050","礁溪鄉",14702,34800,18002,16798,"111Y12M"
"10002","宜蘭縣","10002060","壯圍鄉",9442,24417,12771,11646,"111Y12M"
"10002","宜蘭縣","10002070","員山鄉",12285,31918,16802,15116,"111Y12M"
"10002","宜蘭縣","10002080","冬山鄉",20373,52761,26696,26065,"111Y12M"
"10002","宜蘭縣","10002090","五結鄉",16256,40662,20686,19976,"111Y12M"
"10002","宜蘭縣","10002100","三星鄉",9133,21235,11425,9810,"111Y12M"
"10002","宜蘭縣","10002110","大同鄉",2000,6139,3285,2854,"111Y12M"
"10002","宜蘭縣","10002120","南澳鄉",2058,6119,3128,2991,"111Y12M"
"10004","新竹縣","10004010","竹北市",79159,209221,103983,105238,"111Y12M"
"10004","新竹縣","10004020","竹東鎮",36157,96375,48535,47840,"111Y12M"
