COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"65000","新北市","65000010","板橋區",219404,552713,268673,284040,"110Y12M"
"65000","新北市","65000020","三重區",155647,381731,187265,194466,"110Y12M"
"65000","新北市","65000030","中和區",169811,406140,196306,209834,"110Y12M"
"65000","新北市","65000040","永和區",91421,214967,101849,113118,"110Y12M"
"65000","新北市","65000050","新莊區",162567,421381,205219,216162,"110Y12M"
"65000","新北市","65000060","新店區",130664,299696,143812,155884,"110Y12M"
"65000","新北市","65000070","樹林區",67747,181903,90644,91259,"110Y12M"
"65000","新北市","65000080","鶯歌區",32655,88131,44130,44001,"110Y12M"
"65000","新北市","65000090","三峽區",44826,116019,57964,58055,"110Y12M"
"65000","新北市","65000100","淡水區",85048,185197,88618,96579,"110Y12M"
"65000","新北市","65000110","汐止區",92279,205990,100266,105724,"110Y12M"
"65000","新北市","65000120","瑞芳區",16098,38449,19386,19063,"110Y12M"
"65000","新北市","65000130","土城區",90588,237484,116708,120776,"110Y12M"
"65000","新北市","65000140","蘆洲區",74077,201489,98658,102831,"110Y12M"
"65000","新北市","65000150","五股區",35685,90465,45369,45096,"110Y12M"
"65000","新北市","65000160","泰山區",29010,77451,38208,39243,"110Y12M"
"65000","新北市","65000170","林口區",50711,124628,60583,64045,"110Y12M"
"65000","新北市","65000180","深坑區",9856,23646,11794,11852,"110Y12M"
"65000","新北市","65000190","石碇區",3380,7487,4097,3390,"110Y12M"
"65000","新北市","65000200","坪林區",2566,6619,3592,3027,"110Y12M"
"65000","新北市","65000210","三芝區",9628,22357,11468,10889,"110Y12M"
"65000","新北市","65000220","石門區",4220,11193,5828,5365,"110Y12M"
"65000","新北市","65000230","八里區",16118,40178,20013,20165,"110Y12M"
"65000","新北市","65000240","平溪區",2213,4333,2423,1910,"110Y12M"
"65000","新北市","65000250","雙溪區",3671,8235,4477,3758,"110Y12M"
"65000","新北市","65000260","貢寮區",4318,11534,5891,5643,"110Y12M"
"65000","新北市","65000270","金山區",7236,20844,10247,10597,"110Y12M"
"65000","新北市","65000280","萬里區",7543,21462,10720,10742,"110Y12M"
"65000","新北市","65000290","烏來區",1919,6391,3129,3262,"110Y12M"
"63000","臺北市","63000010","松山區",79979,193388,90448,102940,"110Y12M"
"63000","臺北市","63000020","信義區",87843,207500,98508,108992,"110Y12M"
"63000","臺北市","63000030","大安區",119385,291410,135895,155515,"110Y12M"
"63000","臺北市","63000040","中山區",99528,215567,99911,115656,"110Y12M"
"63000","臺北市","63000050","中正區",65078,150644,71686,78958,"110Y12M"
"63000","臺北市","63000060","大同區",52142,120772,58470,62302,"110Y12M"
"63000","臺北市","63000070","萬華區",78557,176617,86367,90250,"110Y12M"
"63000","臺北市","63000080","文山區",107244,261576,124961,136615,"110Y12M"
"63000","臺北市","63000090","南港區",47800,115780,56400,59380,"110Y12M"
"63000","臺北市","63000100","內湖區",109939,276707,131882,144825,"110Y12M"
"63000","臺北市","63000110","士林區",107169,269682,129968,139714,"110Y12M"
"63000","臺北市","63000120","北投區",97932,244750,117470,127280,"110Y12M"
"68000","桃園市","68000010","桃園區",181624,458847,221459,237388,"110Y12M"
"68000","桃園市","68000020","中壢區",164196,422529,206933,215596,"110Y12M"
"68000","桃園市","68000030","大溪區",34457,94870,48226,46644,"110Y12M"
"68000","桃園市","68000040","楊梅區",64358,176757,88596,88161,"110Y12M"
"68000","桃園市","68000050","蘆竹區",61775,166394,82316,84078,"110Y12M"
"68000","桃園市","68000060","大園區",35360,92172,46797,45375,"110Y12M"
"68000","桃園市","68000070","龜山區",68139,166767,82717,84050,"110Y12M"
"68000","桃園市","68000080","八德區",77844,209665,104149,105516,"110Y12M"
"68000","桃園市","68000090","龍潭區",44850,124442,62046,62396,"110Y12M"
"68000","桃園市","68000100","平鎮區",82314,228203,112847,115356,"110Y12M"
"68000","桃園市","68000110","新屋區",17554,49094,26062,23032,"110Y12M"
"68000","桃園市","68000120","觀音區",25774,69995,36223,33772,"110Y12M"
"68000","桃園市","68000130","復興區",3897,12656,6759,5897,"110Y12M"
"66000","臺中市","66000010","中區",7907,17689,8767,8922,"110Y12M"
"66000","臺中市","66000020","東區",29314,75588,37403,38185,"110Y12M"
"66000","臺中市","66000030","南區",50590,126008,60276,65732,"110Y12M"
"66000","臺中市","66000040","西區",46332,112740,53329,59411,"110Y12M"
"66000","臺中市","66000050","北區",60615,143917,68558,75359,"110Y12M"
"66000","臺中市","66000060","西屯區",91128,230888,110535,120353,"110Y12M"
"66000","臺中市","66000070","南屯區",68059,176782,84306,92476,"110Y12M"
"66000","臺中市","66000080","北屯區",111006,290653,138534,152119,"110Y12M"
"66000","臺中市","66000090","豐原區",55466,164726,81182,83544,"110Y12M"
"66000","臺中市","66000100","東勢區",17470,48333,24723,23610,"110Y12M"
"66000","臺中市","66000110","大甲區",24081,75516,37863,37653,"110Y12M"
"66000","臺中市","66000120","清水區",30133,88366,45124,43242,"110Y12M"
"66000","臺中市","66000130","沙鹿區",31996,96039,48253,47786,"110Y12M"
"66000","臺中市","66000140","梧棲區",19483,59517,29834,29683,"110Y12M"
"66000","臺中市","66000150","后里區",16970,53961,27238,26723,"110Y12M"
"66000","臺中市","66000160","神岡區",20295,64841,33059,31782,"110Y12M"
"66000","臺中市","66000170","潭子區",38011,109270,53826,55444,"110Y12M"
"66000","臺中市","66000180","大雅區",30939,95521,47454,48067,"110Y12M"
"66000","臺中市","66000190","新社區",7789,23650,12207,11443,"110Y12M"
"66000","臺中市","66000200","石岡區",4949,14419,7427,6992,"110Y12M"
"66000","臺中市","66000210","外埔區",9998,31564,16064,15500,"110Y12M"
"66000","臺中市","66000220","大安區",5629,18485,9773,8712,"110Y12M"
"66000","臺中市","66000230","烏日區",27378,77245,38605,38640,"110Y12M"
"66000","臺中市","66000240","大肚區",18642,56458,28734,27724,"110Y12M"
"66000","臺中市","66000250","龍井區",24639,77976,39164,38812,"110Y12M"
"66000","臺中市","66000260","霧峰區",21059,64602,32681,31921,"110Y12M"
"66000","臺中市","66000270","太平區",69114,195613,96573,99040,"110Y12M"
"66000","臺中市","66000280","大里區",73656,212253,103810,108443,"110Y12M"
"66000","臺中市","66000290","和平區",4681,10870,5815,5055,"110Y12M"
"67000","臺南市","67000010","新營區",29665,75506,37226,38280,"110Y12M"
"67000","臺南市","67000020","鹽水區",10196,24777,12897,11880,"110Y12M"
"67000","臺南市","67000030","白河區",10680,26693,13933,12760,"110Y12M"
"67000","臺南市","67000040","柳營區",8015,20618,10709,9909,"110Y12M"
"67000","臺南市","67000050","後壁區",8751,22322,11549,10773,"110Y12M"
"67000","臺南市","67000060","東山區",8212,19788,10551,9237,"110Y12M"
"67000","臺南市","67000070","麻豆區",16193,43373,22026,21347,"110Y12M"
"67000","臺南市","67000080","下營區",9396,23062,11946,11116,"110Y12M"
"67000","臺南市","67000090","六甲區",8020,21488,11136,10352,"110Y12M"
"67000","臺南市","67000100","官田區",8166,21035,10705,10330,"110Y12M"
"67000","臺南市","67000110","大內區",3691,9048,4874,4174,"110Y12M"
"67000","臺南市","67000120","佳里區",21443,58482,28887,29595,"110Y12M"
"67000","臺南市","67000130","學甲區",9772,24981,12803,12178,"110Y12M"
"67000","臺南市","67000140","西港區",8608,24495,12378,12117,"110Y12M"
"67000","臺南市","67000150","七股區",7915,21757,11241,10516,"110Y12M"
"67000","臺南市","67000160","將軍區",7157,18843,9621,9222,"110Y12M"
"67000","臺南市","67000170","北門區",4097,10397,5221,5176,"110Y12M"
"67000","臺南市","67000180","新化區",14902,42809,21721,21088,"110Y12M"
"67000","臺南市","67000190","善化區",19635,51265,25773,25492,"110Y12M"
"67000","臺南市","67000200","新市區",13504,37546,18860,18686,"110Y12M"
"67000","臺南市","67000210","安定區",10595,30105,15479,14626,"110Y12M"
"67000","臺南市","67000220","山上區",2715,6996,3684,3312,"110Y12M"
"67000","臺南市","67000230","玉井區",5160,13342,6918,6424,"110Y12M"
"67000","臺南市","67000240","楠西區",3489,9031,4758,4273,"110Y12M"
"67000","臺南市","67000250","南化區",2809,8264,4455,3809,"110Y12M"
"67000","臺南市","67000260","左鎮區",1887,4428,2516,1912,"110Y12M"
"67000","臺南市","67000270","仁德區",29320,76497,38542,37955,"110Y12M"
"67000","臺南市","67000280","歸仁區",23577,68001,34362,33639,"110Y12M"
"67000","臺南市","67000290","關廟區",11662,33860,17352,16508,"110Y12M"
"67000","臺南市","67000300","龍崎區",1496,3668,1984,1684,"110Y12M"
"67000","臺南市","67000310","永康區",88763,234624,115099,119525,"110Y12M"
"67000","臺南市","67000320","東區",73208,182489,87235,95254,"110Y12M"
"67000","臺南市","67000330","南區",47564,122345,60237,62108,"110Y12M"
"67000","臺南市","67000340","北區",51810,127913,62000,65913,"110Y12M"
"67000","臺南市","67000350","安南區",67766,197061,99037,98024,"110Y12M"
"67000","臺南市","67000360","安平區",27488,67446,31928,35518,"110Y12M"
"67000","臺南市","67000370","中西區",32599,77704,37515,40189,"110Y12M"
"64000","高雄市","64000010","鹽埕區",10806,22912,11326,11586,"110Y12M"
"64000","高雄市","64000020","鼓山區",60314,140410,67354,73056,"110Y12M"
"64000","高雄市","64000030","左營區",81743,196314,93733,102581,"110Y12M"
"64000","高雄市","64000040","楠梓區",75914,190149,92908,97241,"110Y12M"
"64000","高雄市","64000050","三民區",139669,333038,160342,172696,"110Y12M"
"64000","高雄市","64000060","新興區",23150,49383,23741,25642,"110Y12M"
"64000","高雄市","64000070","前金區",13193,26416,12456,13960,"110Y12M"
"64000","高雄市","64000080","苓雅區",73161,164572,78678,85894,"110Y12M"
"64000","高雄市","64000090","前鎮區",79578,182805,89501,93304,"110Y12M"
"64000","高雄市","64000100","旗津區",10919,27204,13961,13243,"110Y12M"
"64000","高雄市","64000110","小港區",69634,156035,77105,78930,"110Y12M"
"64000","高雄市","64000120","鳳山區",146026,357946,174459,183487,"110Y12M"
"64000","高雄市","64000130","林園區",26992,68893,34619,34274,"110Y12M"
"64000","高雄市","64000140","大寮區",43844,111933,57067,54866,"110Y12M"
"64000","高雄市","64000150","大樹區",14000,41257,21097,20160,"110Y12M"
"64000","高雄市","64000160","大社區",13430,34050,17292,16758,"110Y12M"
"64000","高雄市","64000170","仁武區",38037,93581,47260,46321,"110Y12M"
"64000","高雄市","64000180","鳥松區",19320,44393,22392,22001,"110Y12M"
"64000","高雄市","64000190","岡山區",35684,95922,47395,48527,"110Y12M"
"64000","高雄市","64000200","橋頭區",15895,40094,20134,19960,"110Y12M"
"64000","高雄市","64000210","燕巢區",10826,29244,15372,13872,"110Y12M"
"64000","高雄市","64000220","田寮區",3105,6788,3752,3036,"110Y12M"
"64000","高雄市","64000230","阿蓮區",9497,28011,14114,13897,"110Y12M"
"64000","高雄市","64000240","路竹區",17419,51217,25962,25255,"110Y12M"
"64000","高雄市","64000250","湖內區",11234,29648,15075,14573,"110Y12M"
"64000","高雄市","64000260","茄萣區",10718,29812,15235,14577,"110Y12M"
"64000","高雄市","64000270","永安區",5782,13618,6807,6811,"110Y12M"
"64000","高雄市","64000280","彌陀區",6830,18627,9515,9112,"110Y12M"
"64000","高雄市","64000290","梓官區",12988,35117,18025,17092,"110Y12M"
"64000","高雄市","64000300","旗山區",13694,35162,18090,17072,"110Y12M"
"64000","高雄市","64000310","美濃區",14965,37949,19976,17973,"110Y12M"
"64000","高雄市","64000320","六龜區",5441,12135,6541,5594,"110Y12M"
"64000","高雄市","64000330","甲仙區",2296,5788,3053,2735,"110Y12M"
"64000","高雄市","64000340","杉林區",4750,11288,6163,5125,"110Y12M"
"64000","高雄市","64000350","內門區",5116,13770,7451,6319,"110Y12M"
"64000","高雄市","64000360","茂林區",615,1874,935,939,"110Y12M"
"64000","高雄市","64000370","桃源區",1357,4193,2205,1988,"110Y12M"
"64000","高雄市","64000380","那瑪夏區",866,3143,1620,1523,"110Y12M"
"10002","宜蘭縣","10002010","宜蘭市",37447,94869,46123,48746,"110Y12M"
"10002","宜蘭縣","10002020","羅東鎮",26749,70732,33389,37343,"110Y12M"
"10002","宜蘭縣","10002030","蘇澳鎮",14437,38272,19463,18809,"110Y12M"
"10002","宜蘭縣","10002040","頭城鎮",10492,28544,14697,13847,"110Y12M"
"10002","宜蘭縣","10002050","礁溪鄉",14535,35057,18157,16900,"110Y12M"
"10002","宜蘭縣","10002060","壯圍鄉",9278,24391,12786,11605,"110Y12M"
"10002","宜蘭縣","10002070","員山鄉",12142,32056,16895,15161,"110Y12M"
"10002","宜蘭縣","10002080","冬山鄉",20076,52928,26909,26019,"110Y12M"
"10002","宜蘭縣","10002090","五結鄉",15985,40539,20742,19797,"110Y12M"
"10002","宜蘭縣","10002100","三星鄉",9002,21206,11442,9764,"110Y12M"
"10002","宜蘭縣","10002110","大同鄉",1993,6088,3269,2819,"110Y12M"
"10002","宜蘭縣","10002120","南澳鄉",2042,6010,3114,2896,"110Y12M"
"10004","新竹縣","10004010","竹北市",77342,206189,102570,103619,"110Y12M"
"10004","新竹縣","10004020","竹東鎮",35813,96590,48663,47927,"110Y12M"
"10004","新竹縣","10004030","新埔鎮",11593,32975,17593,15382,"110Y12M"
"10004","新竹縣","10004040","關西鎮",9371,27377,14708,12669,"110Y12M"
"10004","新竹縣","10004050","湖口鄉",29388,79602,40241,39361,"110Y12M"
"10004","新竹縣","10004060","新豐鄉",19878,57908,29672,28236,"110Y12M"
"10004","新竹縣","10004070","芎林鄉",7033,19936,10510,9426,"110Y12M"
"10004","新竹縣","10004080","橫山鄉",4389,12343,6723,5620,"110Y12M"
"10004","新竹縣","10004090","北埔鄉",3110,8797,4811,3986,"110Y12M"
"10004","新竹縣","10004100","寶山鄉",6007,14504,7906,6598,"110Y12M"
"10004","新竹縣","10004110","峨眉鄉",2082,5309,2937,2372,"110Y12M"
"10004","新竹縣","10004120","尖石鄉",2941,9577,4995,4582,"110Y12M"
"10004","新竹縣","10004130","五峰鄉",1768,4473,2422,2051,"110Y12M"
"10005","苗栗縣","10005010","苗栗市",32527,86939,43280,43659,"110Y12M"
"10005","苗栗縣","10005020","苑裡鎮",15166,44256,23105,21151,"110Y12M"
"10005","苗栗縣","10005030","通霄鎮",11582,32441,17179,15262,"110Y12M"
"10005","苗栗縣","10005040","竹南鎮",31844,87365,44112,43253,"110Y12M"
"10005","苗栗縣","10005050","頭份市",38071,105084,52944,52140,"110Y12M"
"10005","苗栗縣","10005060","後龍鎮",12125,34694,18359,16335,"110Y12M"
"10005","苗栗縣","10005070","卓蘭鎮",5876,15866,8289,7577,"110Y12M"
"10005","苗栗縣","10005080","大湖鄉",5241,13530,7224,6306,"110Y12M"
"10005","苗栗縣","10005090","公館鄉",10858,31867,16613,15254,"110Y12M"
"10005","苗栗縣","10005100","銅鑼鄉",6106,16871,8945,7926,"110Y12M"
"10005","苗栗縣","10005110","南庄鄉",3881,9328,5145,4183,"110Y12M"
"10005","苗栗縣","10005120","頭屋鄉",3614,10026,5321,4705,"110Y12M"
"10005","苗栗縣","10005130","三義鄉",5639,15388,8139,7249,"110Y12M"
"10005","苗栗縣","10005140","西湖鄉",2624,6558,3682,2876,"110Y12M"
"10005","苗栗縣","10005150","造橋鄉",4144,11956,6347,5609,"110Y12M"
"10005","苗栗縣","10005160","三灣鄉",2331,6201,3389,2812,"110Y12M"
"10005","苗栗縣","10005170","獅潭鄉",1716,4117,2287,1830,"110Y12M"
"10005","苗栗縣","10005180","泰安鄉",1995,5691,3069,2622,"110Y12M"
"10007","彰化縣","10007010","彰化市",78369,228470,112405,116065,"110Y12M"
"10007","彰化縣","10007020","鹿港鎮",25412,85837,43567,42270,"110Y12M"
"10007","彰化縣","10007030","和美鎮",27655,89558,45502,44056,"110Y12M"
