年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2012,直轄市及縣(市)級風景特定區, -,瑞芳風景特定區,新北市,65000,185037.0,104201.0,182084.0,158601.0,187909.0,142826.0,173984.0,221185.0,211267.0,257360.0,284673.0,193699.0,2302826
2012,森林遊樂區, -,滿月圓國家森林遊樂區,新北市,65000,8318.0,6900.0,10932.0,13761.0,15801.0,10837.0,25617.0,0.0,0.0,0.0,0.0,0.0,92166
2012,森林遊樂區, -,內洞國家森林遊樂區,新北市,65000,10779.0,14170.0,15162.0,16444.0,18445.0,13254.0,33290.0,0.0,0.0,20706.0,17128.0,13599.0,172977
2012,博物館, -,國立故宮博物院,臺北市,63000,298037.0,329963.0,426229.0,464262.0,421357.0,309928.0,375416.0,367686.0,279346.0,345925.0,370956.0,371710.0,4360815
2012,博物館, -,市立美術館,臺北市,63000,30209.0,22190.0,24057.0,28545.0,27449.0,22673.0,29423.0,40549.0,15371.0,35997.0,31220.0,31592.0,339275
2012,博物館, -,國立歷史博物館,臺北市,63000,58455.0,84334.0,57565.0,22191.0,13610.0,44284.0,123676.0,109661.0,64351.0,34734.0,38966.0,58326.0,710153
2012,博物館, -,國立臺灣科學教育館,臺北市,63000,314408.0,244453.0,98033.0,143329.0,192393.0,131550.0,322254.0,227673.0,83024.0,103668.0,225954.0,234988.0,2321727
2012,博物館, -,市立天文科學教育館,臺北市,63000,34874.0,45116.0,48289.0,62191.0,59885.0,42014.0,74641.0,85991.0,61457.0,48734.0,61984.0,63858.0,689034
2012,博物館, -,國父紀念館,臺北市,63000,621498.0,7248128.0,575924.0,735666.0,744047.0,763464.0,780787.0,807336.0,470551.0,666502.0,672478.0,883154.0,14969535
2012,博物館, -,國立中正紀念堂,臺北市,63000,459234.0,446564.0,473544.0,502759.0,527102.0,594956.0,684388.0,632525.0,607064.0,552112.0,518065.0,544333.0,6542646
2012,博物館, -,臺北探索館,臺北市,63000,8378.0,15740.0,20403.0,16973.0,15410.0,18647.0,26055.0,22317.0,12924.0,19529.0,18191.0,20594.0,215161
2012,博物館, -,坪林茶業博物館,新北市,65000,11263.0,12300.0,12815.0,16606.0,17108.0,13475.0,19191.0,13186.0,11719.0,15412.0,12520.0,15326.0,170921
2012,博物館, -,新北市立鶯歌陶瓷博物館,新北市,65000,55819.0,55964.0,58217.0,91447.0,66644.0,63697.0,158395.0,158156.0,94723.0,97373.0,89809.0,74041.0,1064285
2012,博物館, -,新北市立十三行博物館,新北市,65000,60378.0,40009.0,53391.0,77498.0,67388.0,65224.0,82108.0,74950.0,65261.0,73158.0,56112.0,42025.0,757502
2012,博物館, -,新北市黃金博物園區,新北市,65000,133916.0,122711.0,120575.0,145568.0,131076.0,131076.0,205353.0,186222.0,152238.0,157793.0,141419.0,146568.0,1774515
2012,博物館, -,新北市客家文化園區,新北市,65000,64139.0,76996.0,60121.0,100010.0,120428.0,123231.0,72342.0,44117.0,46158.0,51773.0,52476.0,40697.0,852488
2012,博物館, -,台北當代藝術館,臺北市,63000,9508.0,16279.0,19263.0,19095.0,16325.0,13706.0,13047.0,13145.0,12006.0,20467.0,11476.0,13741.0,178058
2012,博物館, -,朱銘美術館,新北市,65000,7921.0,6181.0,8936.0,14083.0,10357.0,8950.0,24379.0,20764.0,12154.0,14439.0,11004.0,8863.0,148031
