category,number,village,address,location,floor,capacity,unit,note
盲人重建院,D301000191,忠孝里,新北市新莊區忠孝里中正路384號,"25.03419,121.4427",B01,445,新莊分局,
千禧園社區,D301000192,全安里,新北市新莊區全安里中正路369號,"25.03474,121.4465",B01,675,新莊分局,
公寓,D301000193,文德里,新北市新莊區文德里新莊路215號,"25.03531,121.4552",B01,575,新莊分局,
?豫園社區,D301000194,榮和里,新北市新莊區榮和里中華路1段28號,"25.03742,121.452",B01,109,新莊分局,
公寓,D301000195,興漢里,新北市新莊區興漢里武前街27號,"25.03275,121.4504",B01,158,新莊分局,
日盛證券,D301000196,海山里,新北市新莊區海山里中正路379號,"25.03468,121.4463",B03,961,新莊分局,
麗京A區社區,D301000197,全安里,新北市新莊區全安里中正路357號,"25.03478,121.4468",B02,1600,新莊分局,
公寓,D301000198,安里里,新北市新莊區安里里中正路309號,"25.03509,121.4481",B01,46,新莊分局,
私人住宅大樓,D301000199,全安里,新北市新莊區全安里中正路375號,"25.0347,121.4463",B01,56,新莊分局,
公寓,D301000201,全安里,新北市新莊區全安里景德路302號,"25.03364,121.4477",B01,82,新莊分局,
全坤峰景,D301000205,忠孝里,新北市新莊區忠孝里公園一路110號,"25.03758,121.4444",B01,1247,新莊分局,
捷運臻寶社區,D301000206,文聖里,新北市新莊區文聖里建興街7號,"25.03605,121.45",B03,685,新莊分局,
國泰世華銀行,D301000208,海山里,新北市新莊區海山里中正路387號,"25.034627,121.44596",B02,437,新莊分局,
豐年世家社區,D301000209,海山里,新北市新莊區海山里中正路377巷26號,"25.03377,121.4462",B03,1711,新莊分局,
公寓,D301000210,海山里,新北市新莊區海山里新莊路546號,"25.03301,121.4452",B01,256,新莊分局,
台銀頂好社區,D301000211,文衡里,新北市新莊區文衡里景德252號,"25.03376,121.4488",B02,416,新莊分局,
新莊寶贊私人住宅大樓,D301000212,文衡里,新北市新莊區文衡里新泰103號,"25.03506,121.449",B02,411,新莊分局,
公寓,D301000213,文衡里,新北市新莊區文衡里新豐街2之1號,"25.03481,121.449",B01,201,新莊分局,
私人住宅大樓,D301000214,文聖里,新北市新莊區文聖里建中街6號,"25.03761,121.4498",B01,565,新莊分局,
新莊消防分隊,D301000215,興漢里,新北市新莊區興漢里中正路170號,"25.03594,121.451",B02,986,新莊分局,
新莊農會,D301000216,榮和里,新北市新莊區榮和里新莊路214巷9號,"25.035178,121.45287",B01,332,新莊分局,
戶政事務所,D301000217,榮和里,新北市新莊區榮和里中華路1段2號,"25.03641,121.4522",B01,378,新莊分局,
新莊大囍社區,D301000218,文德里,新北市新莊區文德里碧江街18號1,"25.03502,121.4556",B03,315,新莊分局,
龍躍大廈,D301000219,文德里,新北市新莊區文德里大觀街18號,"25.03464,121.4542",B01,111,新莊分局,
公寓,D301000220,文德里,新北市新莊區文德里中正171號,"25.03647,121.4545",B01,259,新莊分局,
五守新村社區,D301000221,立人里,新北市新莊區立人里中港路五守新村23巷2號,"25.0387,121.455",B01,465,新莊分局,
新莊國小,D301000222,立人里,新北市新莊區立人里中正86號,"25.03697,121.4564",B01,567,新莊分局,
清撥富悅,D301000223,文聖里,新北市新莊區文聖里中興街43號,"25.03695,121.4492",B01,140,新莊分局,
吉泰臻寶社區,D301000224,文聖里,新北市新莊區文聖里建興街55號,"25.03769,121.4499",B01,241,新莊分局,
永鼎國璽社區,D301000225,立人里,新北市新莊區立人里中正110號,"25.03657,121.4535",B01,1361,新莊分局,
翔譽天心私人住宅大樓,D301000226,忠孝里,新北市新莊區忠孝里中正路362號,"25.03434,121.4434",B01,778,新莊分局,
新莊國小,D301000227,立人里,新北市新莊區立人里中正86號,"25.03697,121.4564",B01,970,新莊分局,
傳家尊爵,D301000228,文衡里,新北市新莊區文衡里新泰42號,"25.03432,121.4495",B01,408,新莊分局,
頂好社區,D301000229,文衡里,新北市新莊區文衡里景德路264巷10號,"25.03414,121.4484",B01,94,新莊分局,
傳峰社區,D301000230,海山里,新北市新莊區海山里瓊泰路188號,"25.03359,121.4432",B04,404,新莊分局,
私人住宅大樓,D301000231,榮和里,新北市新莊區榮和里大觀街41號,"25.03558,121.4536",B04,3192,新莊分局,
祥顥醫院,D301000232,文明里,新北市新莊區文明里思源路2號,"25.038661,121.46084",B01,551,新莊分局,
五星尊爵,D301000233,榮和里,新北市新莊區榮和里中華路1段31號,"25.03745,121.4519",B01,1852,新莊分局,
盲人重建院,D301000234,海山里,新北市新莊區海山里中正路384-1號,"25.0352,121.443",B01,730,新莊分局,
鳳凰花園,D301000235,忠孝里,新北市新莊區忠孝里中正路340巷1號,"25.03489,121.4447",B01,3697,新莊分局,
公寓,D301000236,文德里,新北市新莊區文德里大觀街42巷3-1號,"25.03571,121.4541",B01B02,60,新莊分局,
私人住宅大樓,D301000237,文聖里,新北市新莊區文聖里4鄰中興街1號,"25.035988,121.4493",B01,3427,新莊分局,
私人住宅大樓,D301000238,泰豐里,新北市新莊區泰豐里新泰路2-20號,"25.032272,121.45",B01,301,新莊分局,
富都新莊,D301000239,立人里,新北市新莊區立人里5鄰永寧街22號,"25.038129,121.45309",B01,1697,新莊分局,
私人住宅大樓,D302000002,化成里,新北市新莊區化成路11巷48號,"25.043759,121.46333",B01,635,新莊分局,
私人住宅大樓,D302000127,頭前里,新北市新莊區頭前里15鄰化成路660巷7號,"25.05646,121.4664",B01,27,新莊分局,
私人住宅大樓,D302000154,信義里,新北市新莊區信義里14鄰幸福路64巷4弄28號,"25.050169,121.45774",B01,144,新莊分局,
私人住宅大樓,D302000155,信義里,新北市新莊區信義里16鄰幸福路80號,"25.049706,121.45658",B01,302,新莊分局,
公寓,D302000220,化成里,新北市新莊區化成里化成路63巷20號,"25.04592,121.4636",B01,501,新莊分局,
私人住宅大樓,D302000239,信義里,新北市新莊區信義里福壽街94巷19弄2號,"25.05024,121.4594",B01,512,新莊分局,
自來水公司20區,D302000247,思源里,新北市新莊區思源里思源路32號之1,"25.040838,121.46039",B01,480,新莊分局,
公寓,D302000270,化成里,新北市新莊區化成里化成路83巷22號,"25.04663,121.4638",B01,294,新莊分局,
工廠,D302000274,頭前里,新北市新莊區頭前里化成路371巷2號,"25.0572,121.4643",B01,488,新莊分局,
頭前國小,D302000280,頭前里,新北市新莊區頭前里化成路231號,"25.05293,121.4661",B01,574,新莊分局,
私人住宅大樓,D302000283,頭前里,新北市新莊區頭前里化成路524巷43號,"25.05276,121.4668",B01,47,新莊分局,
私人住宅大樓,D302000284,頭前里,新北市新莊區頭前里化成路524巷39號,"25.05276,121.4668",B01,47,新莊分局,
