COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,10002100,三星鄉,8642,21359,11481,9878,"107Y12M"
10002,宜蘭縣,10002110,大同鄉,1926,6242,3334,2908,"107Y12M"
10002,宜蘭縣,10002090,五結鄉,15105,39543,20398,19145,"107Y12M"
10002,宜蘭縣,10002080,冬山鄉,19420,52880,27122,25758,"107Y12M"
10002,宜蘭縣,10002060,壯圍鄉,8916,24302,12829,11473,"107Y12M"
10002,宜蘭縣,10002010,宜蘭市,36569,95732,46612,49120,"107Y12M"
10002,宜蘭縣,10002120,南澳鄉,1979,6015,3101,2914,"107Y12M"
10002,宜蘭縣,10002070,員山鄉,11740,32281,17113,15168,"107Y12M"
10002,宜蘭縣,10002040,頭城鎮,10275,29133,15018,14115,"107Y12M"
10002,宜蘭縣,10002050,礁溪鄉,14195,35619,18516,17103,"107Y12M"
10002,宜蘭縣,10002020,羅東鎮,26522,72433,34281,38152,"107Y12M"
10002,宜蘭縣,10002030,蘇澳鎮,14222,39682,20222,19460,"107Y12M"
10015,花蓮縣,10015030,玉里鎮,8875,24007,12696,11311,"107Y12M"
10015,花蓮縣,10015070,光復鄉,5031,12789,6803,5986,"107Y12M"
10015,花蓮縣,10015050,吉安鄉,32228,83221,41870,41351,"107Y12M"
10015,花蓮縣,10015110,秀林鄉,4844,15939,8175,7764,"107Y12M"
10015,花蓮縣,10015130,卓溪鄉,1696,6101,3341,2760,"107Y12M"
10015,花蓮縣,10015010,花蓮市,41499,103841,50023,53818,"107Y12M"
10015,花蓮縣,10015100,富里鄉,4035,10277,5590,4687,"107Y12M"
10015,花蓮縣,10015040,新城鄉,7758,20159,10318,9841,"107Y12M"
10015,花蓮縣,10015090,瑞穗鄉,4787,11668,6308,5360,"107Y12M"
10015,花蓮縣,10015120,萬榮鄉,2110,6419,3377,3042,"107Y12M"
10015,花蓮縣,10015060,壽豐鄉,7248,17949,9490,8459,"107Y12M"
10015,花蓮縣,10015020,鳳林鎮,4393,10846,5638,5208,"107Y12M"
10015,花蓮縣,10015080,豐濱鄉,1718,4752,2629,2123,"107Y12M"
09020,金門縣,09020020,金沙鎮,6372,20784,10279,10505,"107Y12M"
09020,金門縣,09020010,金城鎮,13003,43325,21565,21760,"107Y12M"
09020,金門縣,09020030,金湖鎮,9076,29856,14966,14890,"107Y12M"
09020,金門縣,09020040,金寧鄉,8844,31765,15997,15768,"107Y12M"
09020,金門縣,09020050,烈嶼鄉,3186,12861,6340,6521,"107Y12M"
09020,金門縣,09020060,烏坵鄉,135,682,347,335,"107Y12M"
10008,南投縣,10008080,中寮鄉,5629,14680,7969,6711,"107Y12M"
10008,南投縣,10008130,仁愛鄉,4895,15969,8245,7724,"107Y12M"
10008,南投縣,10008110,水里鄉,7104,17496,9173,8323,"107Y12M"
