COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,10002100,三星鄉,8317,21441,11563,9878,"104Y12M"
10002,宜蘭縣,10002110,大同鄉,1886,6080,3300,2780,"104Y12M"
10002,宜蘭縣,10002090,五結鄉,14422,39559,20476,19083,"104Y12M"
10002,宜蘭縣,10002080,冬山鄉,18866,53634,27573,26061,"104Y12M"
10002,宜蘭縣,10002060,壯圍鄉,8529,24258,12837,11421,"104Y12M"
10002,宜蘭縣,10002010,宜蘭市,35640,96051,46907,49144,"104Y12M"
10002,宜蘭縣,10002120,南澳鄉,1915,6051,3171,2880,"104Y12M"
10002,宜蘭縣,10002070,員山鄉,11500,32277,17123,15154,"104Y12M"
10002,宜蘭縣,10002040,頭城鎮,10140,29798,15376,14422,"104Y12M"
10002,宜蘭縣,10002050,礁溪鄉,13574,35838,18711,17127,"104Y12M"
10002,宜蘭縣,10002020,羅東鎮,26044,72404,34420,37984,"104Y12M"
10002,宜蘭縣,10002030,蘇澳鎮,14078,40726,20760,19966,"104Y12M"
10015,花蓮縣,10015030,玉里鎮,8920,25013,13378,11635,"104Y12M"
10015,花蓮縣,10015070,光復鄉,5031,13219,7031,6188,"104Y12M"
10015,花蓮縣,10015050,吉安鄉,31504,83240,42170,41070,"104Y12M"
10015,花蓮縣,10015110,秀林鄉,4774,15666,8098,7568,"104Y12M"
10015,花蓮縣,10015130,卓溪鄉,1674,6037,3322,2715,"104Y12M"
10015,花蓮縣,10015010,花蓮市,41454,105724,51230,54494,"104Y12M"
10015,花蓮縣,10015100,富里鄉,4012,10633,5806,4827,"104Y12M"
10015,花蓮縣,10015040,新城鄉,7610,20216,10438,9778,"104Y12M"
10015,花蓮縣,10015090,瑞穗鄉,4708,11926,6416,5510,"104Y12M"
10015,花蓮縣,10015120,萬榮鄉,2082,6420,3387,3033,"104Y12M"
10015,花蓮縣,10015060,壽豐鄉,7057,18195,9717,8478,"104Y12M"
10015,花蓮縣,10015020,鳳林鎮,4407,11115,5816,5299,"104Y12M"
10015,花蓮縣,10015080,豐濱鄉,1723,4541,2526,2015,"104Y12M"
09020,金門縣,09020020,金沙鎮,6160,20107,9952,10155,"104Y12M"
09020,金門縣,09020010,金城鎮,12681,42344,21255,21089,"104Y12M"
09020,金門縣,09020030,金湖鎮,8584,28402,14314,14088,"104Y12M"
09020,金門縣,09020040,金寧鄉,7957,28833,14552,14281,"104Y12M"
09020,金門縣,09020050,烈嶼鄉,3073,12450,6187,6263,"104Y12M"
09020,金門縣,09020060,烏坵鄉,133,663,331,332,"104Y12M"
10008,南投縣,10008080,中寮鄉,5656,15353,8351,7002,"104Y12M"
10008,南投縣,10008130,仁愛鄉,4934,15771,8153,7618,"104Y12M"
10008,南投縣,10008110,水里鄉,7194,18339,9629,8710,"104Y12M"
10008,南投縣,10008060,名間鄉,12592,39666,20835,18831,"104Y12M"
10008,南投縣,10008040,竹山鎮,20041,56053,28781,27272,"104Y12M"
10008,南投縣,10008120,信義鄉,5238,16525,8875,7650,"104Y12M"
10008,南投縣,10008010,南投市,34490,101622,50992,50630,"104Y12M"
10008,南投縣,10008020,埔里鎮,28955,82212,41233,40979,"104Y12M"
10008,南投縣,10008030,草屯鎮,32776,98837,49957,48880,"104Y12M"
10008,南投縣,10008100,國姓鄉,7309,19360,10487,8873,"104Y12M"
10008,南投縣,10008090,魚池鄉,5758,16289,8534,7755,"104Y12M"
10008,南投縣,10008070,鹿谷鄉,7696,18234,9704,8530,"104Y12M"
