COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,10002100,三星鄉,8588,21467,11565,9902,"106Y12M"
10002,宜蘭縣,10002110,大同鄉,1901,6102,3292,2810,"106Y12M"
10002,宜蘭縣,10002090,五結鄉,14980,39673,20505,19168,"106Y12M"
10002,宜蘭縣,10002080,冬山鄉,19328,53289,27307,25982,"106Y12M"
10002,宜蘭縣,10002060,壯圍鄉,8850,24250,12816,11434,"106Y12M"
10002,宜蘭縣,10002010,宜蘭市,36325,95918,46794,49124,"106Y12M"
10002,宜蘭縣,10002120,南澳鄉,1952,5900,3084,2816,"106Y12M"
10002,宜蘭縣,10002070,員山鄉,11747,32458,17210,15248,"106Y12M"
10002,宜蘭縣,10002040,頭城鎮,10264,29398,15161,14237,"106Y12M"
10002,宜蘭縣,10002050,礁溪鄉,14093,35777,18602,17175,"106Y12M"
10002,宜蘭縣,10002020,羅東鎮,26380,72319,34267,38052,"106Y12M"
10002,宜蘭縣,10002030,蘇澳鎮,14181,40056,20373,19683,"106Y12M"
10015,花蓮縣,10015030,玉里鎮,8902,24345,12887,11458,"106Y12M"
10015,花蓮縣,10015070,光復鄉,5009,12888,6865,6023,"106Y12M"
10015,花蓮縣,10015050,吉安鄉,32048,83747,42121,41626,"106Y12M"
10015,花蓮縣,10015110,秀林鄉,4803,15889,8189,7700,"106Y12M"
10015,花蓮縣,10015130,卓溪鄉,1696,6066,3348,2718,"106Y12M"
10015,花蓮縣,10015010,花蓮市,41526,104380,50367,54013,"106Y12M"
10015,花蓮縣,10015100,富里鄉,4028,10413,5664,4749,"106Y12M"
10015,花蓮縣,10015040,新城鄉,7737,20185,10386,9799,"106Y12M"
10015,花蓮縣,10015090,瑞穗鄉,4748,11653,6297,5356,"106Y12M"
10015,花蓮縣,10015120,萬榮鄉,2098,6384,3372,3012,"106Y12M"
10015,花蓮縣,10015060,壽豐鄉,7226,18043,9611,8432,"106Y12M"
10015,花蓮縣,10015020,鳳林鎮,4406,10861,5642,5219,"106Y12M"
10015,花蓮縣,10015080,豐濱鄉,1709,4383,2430,1953,"106Y12M"
09020,金門縣,09020020,金沙鎮,6300,20535,10162,10373,"106Y12M"
09020,金門縣,09020010,金城鎮,12872,43285,21611,21674,"106Y12M"
09020,金門縣,09020030,金湖鎮,8911,29413,14780,14633,"106Y12M"
09020,金門縣,09020040,金寧鄉,8570,30838,15571,15267,"106Y12M"
09020,金門縣,09020050,烈嶼鄉,3136,12700,6252,6448,"106Y12M"
09020,金門縣,09020060,烏坵鄉,134,685,346,339,"106Y12M"
10008,南投縣,10008080,中寮鄉,5629,14842,8060,6782,"106Y12M"
10008,南投縣,10008130,仁愛鄉,4901,15748,8149,7599,"106Y12M"
10008,南投縣,10008110,水里鄉,7146,17803,9347,8456,"106Y12M"
10008,南投縣,10008060,名間鄉,12639,38796,20431,18365,"106Y12M"
10008,南投縣,10008040,竹山鎮,20119,55060,28237,26823,"106Y12M"
10008,南投縣,10008120,信義鄉,5273,16253,8715,7538,"106Y12M"
10008,南投縣,10008010,南投市,34725,100180,50150,50030,"106Y12M"
10008,南投縣,10008020,埔里鎮,29035,81033,40366,40667,"106Y12M"
10008,南投縣,10008030,草屯鎮,33264,97875,49504,48371,"106Y12M"
10008,南投縣,10008100,國姓鄉,7258,18803,10170,8633,"106Y12M"
10008,南投縣,10008090,魚池鄉,5776,15946,8419,7527,"106Y12M"
10008,南投縣,10008070,鹿谷鄉,7947,17808,9511,8297,"106Y12M"
